domain,host,class,type,usage,selector,matching_type,certificate
8dos.eu,_443._tcp.8dos.eu,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
8n1.org,tlsa.8n1.org,IN,TLSA,3,1,0,3076301006072a8648ce3d020106052b8104002203620004cd40002d43b2e18cb3837dacbcb2406c7a124ae67f8a51c86da8997609cf61269c534d5f6030f9d172136c89ad4b9fbab3c34f08396cd686ad92f38c7481bc107ebc0aa073955d8e3dbf66a7a8829eac9388a669622cb6c8843959c05b9129dd
8n1.org,tlsa.8n1.org,IN,TLSA,3,1,1,e4042fecbf2b3a8a59e239fc5bf05d0fdc52efc60f1f4270dc306e77abcc9476
8n1.org,tlsa.8n1.org,IN,TLSA,3,1,2,46a9270115cf512cd75d350e70c25392f751fdb4c38e84bd69f2c8e2e2648e5436e33d2de301a89eee88b7fd3b29c69226cccdbd7da831c4950136b5b512ec3f
a-montage.nl,_443._tcp.a-montage.nl,IN,TLSA,3,0,1,618124283c9001ae249a1348c13126137968099bc407bd0f63d391c741e022ae
a1.digid.nl,_443._tcp.a1.digid.nl,IN,TLSA,3,0,1,67af90cea66f2f109448e08d005b6a32cd9a39d2d69b066aabec1e7d94f5f111
aalten.nl,_443._tcp.aalten.nl,IN,TLSA,3,1,1,73548f08eef4b15d83fd2ea0f137a92b7a2f0b0b3a40687d66c950f666628e4e
aandeslagmetjehuis.nl,_443._tcp.aandeslagmetjehuis.nl,IN,TLSA,0,1,1,4648564dc7c901037f631391d765643e8f8f86622849f59dfc9564838e1e8a76
aandeslagmetkwaliteitsborging.nl,_443._tcp.aandeslagmetkwaliteitsborging.nl,IN,TLSA,3,1,1,01204159e69d98ff9070f7c9fcf3c88b6458a73f6d7cbc72c58c9647d84572a0
aangifte.politie.nl,_443._tcp.aangifte.politie.nl,IN,TLSA,2,0,1,8b0e9317a4c3fc1519fcb72912aec9a10225078e538a155dadd706c613104f7f
aangifte.politie.nl,_443._tcp.aangifte.politie.nl,IN,TLSA,3,0,1,2ddab24b3005288c8d03119066809ab645152f5abb62c9dba8f3c26f2e4f179a
aarle.be,_443._tcp.aarle.be,IN,TLSA,3,0,1,4deb54228824b50f83ef60a42a9a0b7a19a7536c9c919bf29ccf7c91edb781f5
abctwenty.xyz,_443._tcp.abctwenty.xyz,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
abctwenty.xyz,_443._tcp.abctwenty.xyz,IN,TLSA,3,1,1,28ee8a31c8f04244f06b4a22d009805d5faf9a97573b31d23598ffac13185666
abierta.cr,_443._tcp.abierta.cr,IN,TLSA,3,1,1,52770f2b32e4c844cc014d0c8158aece026a3a2f4a49f52da2a1ad992b631f07
abierta.cr,_443._tcp.abierta.cr,IN,TLSA,3,1,1,89bd1822b4acdcdda21defaf8f53db28742b281fb0276a77b1fc4541d767b18d
abnamro.aangetekendmailen.nl,_443._tcp.abnamro.aangetekendmailen.nl,IN,TLSA,0,1,1,c784333d20bcd742b9fdc3236f4e509b8937070e73067e254dd3bf9c45bf4dde
abraxas.ch,_443._tcp.abraxas.ch,IN,TLSA,2,0,1,f67c23ef7bf7412809db6b1dd3d44a08d3754d99caba6a13f7a05c7249089c89
abstractsupports.au,_443._tcp.abstractsupports.au,IN,TLSA,2,1,1,276fe8a8c4ec7611565bf9fce6dcace9be320c1b5bea27596b2204071ed04f10
abstractsupports.au,_443._tcp.abstractsupports.au,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
abstractsupports.au,_443._tcp.abstractsupports.au,IN,TLSA,2,1,1,bd936e72b212ef6f773102c6b77d38f94297322efc25396bc3279422e0c89270
abstractsupports.au,_443._tcp.abstractsupports.au,IN,TLSA,2,1,1,e5545e211347241891c554a03934cde9b749664a59d26d615fe58f77990f2d03
abstractsupports.au,_443._tcp.abstractsupports.au,IN,TLSA,3,0,1,1d3244384088a2657004d66e24bf1debed504894ee885d4047548c8694a88aee
abuse.io,_443._tcp.abuse.io,IN,TLSA,3,0,1,2630e9961ad2eeb13dd7927be63178216226b752ddce4c61b4ac439f57816cbf
acc.anonimiseren.octobox.nl,_443._tcp.acc.anonimiseren.octobox.nl,IN,TLSA,3,1,1,97b947d58f68ea495d544c98c1b412c7722eee3367abf12c15aef3bcdaaa833b
acc.dashboard.internet.nl,le-intermediate._dane.internet.nl,IN,TLSA,2,1,1,276fe8a8c4ec7611565bf9fce6dcace9be320c1b5bea27596b2204071ed04f10
acc.dashboard.internet.nl,le-intermediate._dane.internet.nl,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
acc.dashboard.internet.nl,le-intermediate._dane.internet.nl,IN,TLSA,2,1,1,bd936e72b212ef6f773102c6b77d38f94297322efc25396bc3279422e0c89270
acc.dashboard.internet.nl,le-intermediate._dane.internet.nl,IN,TLSA,2,1,1,e5545e211347241891c554a03934cde9b749664a59d26d615fe58f77990f2d03
acc.subsidie.cultureelerfgoed.nl,_443._tcp.acc.subsidie.cultureelerfgoed.nl,IN,TLSA,1,1,1,a6c53683686f851d49951ed013c891159ea3cdf7af4d43b6f50d4ea69470b5f0
acceptatie-api-sostoegang.asolutions.nl,_443._tcp.acceptatie-api-sostoegang.asolutions.nl,IN,TLSA,2,1,1,4648564dc7c901037f631391d765643e8f8f86622849f59dfc9564838e1e8a76
acceptatie-api-sostoegang.asolutions.nl,_443._tcp.acceptatie-api-sostoegang.asolutions.nl,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
acceptatie-bonstat.asolutions.nl,_443._tcp.acceptatie-bonstat.asolutions.nl,IN,TLSA,2,1,1,4648564dc7c901037f631391d765643e8f8f86622849f59dfc9564838e1e8a76
acceptatie-bonstat.asolutions.nl,_443._tcp.acceptatie-bonstat.asolutions.nl,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
acceptatie-ketenhub.asolutions.nl,_443._tcp.acceptatie-ketenhub.asolutions.nl,IN,TLSA,2,1,1,4648564dc7c901037f631391d765643e8f8f86622849f59dfc9564838e1e8a76
acceptatie-ketenhub.asolutions.nl,_443._tcp.acceptatie-ketenhub.asolutions.nl,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
