domain,host,class,type,usage,selector,matching_type,certificate
5fm.nu,_443._tcp.5fm.nu,IN,TLSA,3,1,1,ef8320dc944f012a57aa7ccd9101e690efcfb110ce00a822f6b4cc1a14e8ca99
64k.nl,_443._tcp.64k.nl,IN,TLSA,3,1,1,eec8447839e1dd49d41e9ec80e04f9df85191a9f8198af9e17f7dd245afe6009
666gravel.bike,_443._tcp.666gravel.bike.web1.dane.canodus.be,IN,TLSA,3,1,2,4682b9a2b93353709104ddb36b9e9c8c1d2cd73f05a4aafb3bced1cac89331c3ccb4dbbbfc3d232243a519d9e62c76ba412a96563839fe99b9dcd20c67af3ece
6942mini.848.fr,_443._tcp.6942mini.848.fr,IN,TLSA,3,1,2,62a31ff1b8ce850fa514ed0b5fcf76e1599eccec3f862359a78092dd836409947915fb1011580807a597210919cc89a56b93bcbf350fd116405d1e452f6bcd71
6942mini.848.fr,_443._tcp.6942mini.848.fr,IN,TLSA,3,1,2,8606e8fb896d0ff5878e4f9c73638287f490d3692330e62037b4cd791fecb03d3d3f3db6e692d4d1d825f750e5cfd8f7a05373873753ef11b32213c07d71101c
7dos.eu,_443._tcp.7dos.eu,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
7dos.eu,_443._tcp.7dos.eu,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
7ring.nl,_443._tcp.7ring.nl,IN,TLSA,3,1,1,08f5981e4110ab71c719800e32d18bcb8cfadc081f288b320766674f1db91c3b
848.fr,_443._tcp.848.fr,IN,TLSA,3,1,2,62a31ff1b8ce850fa514ed0b5fcf76e1599eccec3f862359a78092dd836409947915fb1011580807a597210919cc89a56b93bcbf350fd116405d1e452f6bcd71
848.fr,_443._tcp.848.fr,IN,TLSA,3,1,2,8606e8fb896d0ff5878e4f9c73638287f490d3692330e62037b4cd791fecb03d3d3f3db6e692d4d1d825f750e5cfd8f7a05373873753ef11b32213c07d71101c
8dos.eu,_443._tcp.8dos.eu,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
8dos.eu,_443._tcp.8dos.eu,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
8n1.org,tlsa.8n1.org,IN,TLSA,3,1,0,3076301006072a8648ce3d020106052b8104002203620004cd40002d43b2e18cb3837dacbcb2406c7a124ae67f8a51c86da8997609cf61269c534d5f6030f9d172136c89ad4b9fbab3c34f08396cd686ad92f38c7481bc107ebc0aa073955d8e3dbf66a7a8829eac9388a669622cb6c8843959c05b9129dd
8n1.org,tlsa.8n1.org,IN,TLSA,3,1,1,e4042fecbf2b3a8a59e239fc5bf05d0fdc52efc60f1f4270dc306e77abcc9476
8n1.org,tlsa.8n1.org,IN,TLSA,3,1,2,46a9270115cf512cd75d350e70c25392f751fdb4c38e84bd69f2c8e2e2648e5436e33d2de301a89eee88b7fd3b29c69226cccdbd7da831c4950136b5b512ec3f
a-montage.nl,_443._tcp.a-montage.nl,IN,TLSA,3,0,1,618124283c9001ae249a1348c13126137968099bc407bd0f63d391c741e022ae
a1.digid.nl,_443._tcp.a1.digid.nl,IN,TLSA,3,0,1,67af90cea66f2f109448e08d005b6a32cd9a39d2d69b066aabec1e7d94f5f111
aandeslagmetkwaliteitsborging.nl,_443._tcp.aandeslagmetkwaliteitsborging.nl,IN,TLSA,3,1,1,01204159e69d98ff9070f7c9fcf3c88b6458a73f6d7cbc72c58c9647d84572a0
aangifte.politie.nl,_443._tcp.aangifte.politie.nl,IN,TLSA,2,0,1,8b0e9317a4c3fc1519fcb72912aec9a10225078e538a155dadd706c613104f7f
aangifte.politie.nl,_443._tcp.aangifte.politie.nl,IN,TLSA,3,0,1,2ddab24b3005288c8d03119066809ab645152f5abb62c9dba8f3c26f2e4f179a
aarle.be,_443._tcp.aarle.be,IN,TLSA,3,0,1,4deb54228824b50f83ef60a42a9a0b7a19a7536c9c919bf29ccf7c91edb781f5
abctwenty.xyz,_443._tcp.abctwenty.xyz,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
abctwenty.xyz,_443._tcp.abctwenty.xyz,IN,TLSA,3,1,1,28ee8a31c8f04244f06b4a22d009805d5faf9a97573b31d23598ffac13185666
abierta.cr,_443._tcp.abierta.cr,IN,TLSA,3,1,1,52770f2b32e4c844cc014d0c8158aece026a3a2f4a49f52da2a1ad992b631f07
abierta.cr,_443._tcp.abierta.cr,IN,TLSA,3,1,1,89bd1822b4acdcdda21defaf8f53db28742b281fb0276a77b1fc4541d767b18d
abnamro.aangetekendmailen.nl,_443._tcp.abnamro.aangetekendmailen.nl,IN,TLSA,0,1,1,c784333d20bcd742b9fdc3236f4e509b8937070e73067e254dd3bf9c45bf4dde
abraxas.ch,_443._tcp.abraxas.ch,IN,TLSA,2,0,1,f67c23ef7bf7412809db6b1dd3d44a08d3754d99caba6a13f7a05c7249089c89
abstractsupports.au,_443._tcp.abstractsupports.au,IN,TLSA,2,1,1,276fe8a8c4ec7611565bf9fce6dcace9be320c1b5bea27596b2204071ed04f10
abstractsupports.au,_443._tcp.abstractsupports.au,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
abstractsupports.au,_443._tcp.abstractsupports.au,IN,TLSA,2,1,1,bd936e72b212ef6f773102c6b77d38f94297322efc25396bc3279422e0c89270
abstractsupports.au,_443._tcp.abstractsupports.au,IN,TLSA,2,1,1,e5545e211347241891c554a03934cde9b749664a59d26d615fe58f77990f2d03
abstractsupports.au,_443._tcp.abstractsupports.au,IN,TLSA,3,0,1,1d3244384088a2657004d66e24bf1debed504894ee885d4047548c8694a88aee
acc.anonimiseren.octobox.nl,_443._tcp.acc.anonimiseren.octobox.nl,IN,TLSA,3,1,1,97b947d58f68ea495d544c98c1b412c7722eee3367abf12c15aef3bcdaaa833b
acc.dashboard.internet.nl,le-intermediate._dane.internet.nl,IN,TLSA,2,1,1,276fe8a8c4ec7611565bf9fce6dcace9be320c1b5bea27596b2204071ed04f10
acc.dashboard.internet.nl,le-intermediate._dane.internet.nl,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
acc.dashboard.internet.nl,le-intermediate._dane.internet.nl,IN,TLSA,2,1,1,bd936e72b212ef6f773102c6b77d38f94297322efc25396bc3279422e0c89270
acc.dashboard.internet.nl,le-intermediate._dane.internet.nl,IN,TLSA,2,1,1,e5545e211347241891c554a03934cde9b749664a59d26d615fe58f77990f2d03
